species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Collinsonia canadensis;NA;JQ669087;KY624850;NA;KP643757;NA;NA;JN578051;JQ669291;NA;AY570453
Collinsonia elsholtzioides;NA;KY552536;KY624899;NA;KY624966;NA;NA;NA;NA;NA;KY625034
Collinsonia glandulosa;NA;NA;KY624900;NA;KY624968;NA;NA;NA;NA;NA;KY625036
Collinsonia japonica;NA;KT210244;KY624901;NA;KY624969;NA;NA;NA;KT210276;NA;KT210328
Collinsonia macrobracteata;NA;KY552539;NA;NA;KY624971;NA;NA;NA;NA;NA;KY625039
Collinsonia punctata;NA;KT210241;NA;KT210252;KT210257;NA;NA;NA;KT210273;NA;KT210325
Collinsonia serotina;NA;KY552489;KY624853;NA;KY624920;NA;NA;NA;NA;NA;KY624988
Collinsonia verticillata;NA;KY552490;KY624854;NA;KY624921;NA;NA;NA;NA;NA;KY624989
Colpias mollis;NA;AJ616318;NA;AJ617591;NA;NA;NA;NA;NA;AJ609194;AJ608623
Colpogyne betsiliensis;NA;KR704040;NA;NA;NA;NA;NA;NA;NA;NA;KR703922
Colquhounia coccinea;NA;KR608722;HQ911421;NA;MF801773;NA;NA;NA;NA;JX893273;KR608673
Colquhounia compta;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Colquhounia elegans;NA;HG004809;NA;NA;KF181500;NA;NA;NA;NA;FJ854027;EF546937
Colquhounia seguinii;NA;NA;NA;NA;NA;NA;NA;NA;NA;JX893275;NA
Columnea albiflora;NA;KF005725;NA;NA;NA;NA;NA;NA;NA;KF005922;NA
Columnea albovinosa;NA;KX912354;NA;NA;NA;NA;NA;NA;KX912467;KX912524;NA
Columnea ambigua;NA;KY858285;KY858655;NA;NA;NA;NA;NA;JQ953974;KY858512;KY858581
Columnea angustata;NA;KF554327;NA;NA;JQ592159;NA;NA;NA;NA;KF005925;NA
Columnea anisophylla;NA;KF005729;KY858656;NA;NA;NA;NA;NA;KX912468;KF005926;KY858599
Columnea arguta;NA;KY858287;KY858657;NA;NA;NA;NA;NA;KX912469;KY858514;KY858582
Columnea asteroloma;NA;KX912357;NA;NA;NA;NA;NA;NA;KX912470;KX912527;NA
Columnea atahualpae;NA;KF005732;NA;NA;NA;NA;NA;NA;NA;KF005930;NA
Columnea bilabiata;NA;KF005733;NA;NA;NA;NA;NA;NA;NA;KF005931;NA
Columnea billbergiana;NA;KY858288;JX195978;NA;NA;NA;NA;NA;KX912471;KX912528;JX195747
Columnea brenneri;NA;KF005735;NA;NA;NA;NA;NA;NA;NA;KF005933;NA
Columnea brevipila;NA;KF005736;NA;NA;NA;NA;NA;NA;NA;KF005934;NA
Columnea byrsina;NA;KF554329;NA;AY364308;NA;NA;NA;NA;JQ953975;KF005936;AY364282
Columnea calotricha;NA;KF005739;NA;NA;NA;NA;NA;NA;NA;KF005937;NA
Columnea ciliata;NA;KF005740;NA;NA;NA;NA;NA;NA;KX912472;KF005938;NA
Columnea citriflora;NA;KF005741;NA;NA;NA;NA;NA;NA;KX912474;KX912531;NA
Columnea colombiana;NA;KF554333;NA;NA;NA;NA;NA;NA;NA;KF005940;NA
Columnea consanguinea;NA;NA;JQ589809;NA;NA;NA;NA;NA;NA;KF005942;NA
Columnea crassa;NA;KY858289;NA;NA;NA;NA;NA;NA;NA;KY858516;KY858583
Columnea crassicaulis;NA;KF005745;NA;NA;NA;NA;NA;NA;NA;KF005943;NA
Columnea cruenta;NA;KY858290;KY858660;NA;NA;NA;NA;NA;KX912475;KY858517;KY858584
Columnea dissimilis;NA;KF005748;NA;NA;NA;NA;NA;NA;KX912477;KX912534;NA
Columnea domingensis;NA;JQ953790;NA;NA;NA;NA;NA;NA;JQ953976;KF005948;NA
Columnea eburnea;NA;KF005750;NA;NA;NA;NA;NA;NA;NA;KF005949;NA
Columnea elongatifolia;NA;KF005751;NA;NA;NA;NA;NA;NA;NA;KF005950;NA
Columnea ericae;NA;KY858307;KY858658;NA;NA;NA;NA;NA;NA;KF005928;KY858597
Columnea erythrophaea;NA;AF543246;NA;NA;NA;NA;NA;NA;NA;KF005952;NA
Columnea filifera;NA;KF005753;NA;NA;NA;NA;NA;NA;NA;KF005954;NA
Columnea fimbricalyx;NA;KF005754;NA;NA;NA;NA;NA;NA;KX912478;KF005955;NA
Columnea flexiflora;NA;KF005755;NA;NA;NA;NA;NA;NA;NA;KF005956;NA
Columnea florida;NA;KY858292;KY858661;NA;NA;NA;NA;NA;NA;KY858519;KY858585
Columnea gallicauda;NA;KF005756;NA;NA;NA;NA;NA;NA;NA;KF005957;NA
Columnea gigantifolia;NA;KX912366;NA;NA;NA;NA;NA;NA;KX912479;KX912537;NA
Columnea guianensis;NA;JQ953791;NA;NA;NA;NA;NA;NA;JQ953979;KF005959;JQ954245
Columnea guttata;NA;KY858305;NA;NA;NA;NA;NA;NA;NA;KF005960;KY858596
Columnea herthae;NA;KF005760;NA;NA;NA;NA;NA;NA;NA;KF005963;NA
Columnea hirsutissima;NA;KY858294;NA;NA;NA;NA;NA;NA;NA;KY858522;KY858587
Columnea hypocyrtantha;NA;KF005762;NA;NA;NA;NA;NA;NA;NA;KF005964;NA
Columnea isernii;NA;KF005764;NA;NA;NA;NA;NA;NA;NA;KF005967;NA
Columnea katzensteiniae;NA;KF005766;NA;NA;NA;NA;NA;NA;NA;KF005968;NA
Columnea kienastiana;NA;KF005749;NA;NA;NA;NA;NA;NA;NA;KF005947;NA
Columnea lehmannii;NA;KX912369;NA;NA;NA;NA;NA;NA;KX912482;KX912539;NA
Columnea lophophora;NA;KF005767;NA;NA;NA;NA;NA;NA;NA;KF005969;NA
Columnea lucifer;NA;KX912370;NA;NA;NA;NA;NA;NA;KX912483;KX912540;NA
Columnea magnifica;NA;KF005769;NA;NA;JQ592160;NA;NA;NA;NA;KF005971;NA
Columnea medicinalis;NA;AF543235;NA;NA;NA;NA;NA;NA;KX912484;KX912541;NA
Columnea microcalyx;NA;KF005757;KY858662;NA;NA;NA;NA;NA;NA;KF005958;KY858586
Columnea microphylla;NA;KF005771;NA;NA;NA;NA;NA;NA;NA;KF005972;NA
Columnea minor;NA;KF005774;NA;NA;NA;NA;NA;NA;NA;KF005974;NA
Columnea minutiflora;NA;KF005775;NA;NA;NA;NA;NA;NA;KX912485;KF005977;NA
Columnea mira;NA;NA;NA;AF013695;NA;NA;NA;NA;NA;KF005978;NA
Columnea moesta;NA;KF005779;NA;NA;NA;NA;NA;NA;NA;KF005982;NA
Columnea moorei;NA;KX912373;NA;NA;NA;NA;NA;NA;KX912487;KX912544;NA
Columnea nicaraguensis;NA;KY858295;KY858665;NA;JQ592162;NA;NA;NA;NA;KY858523;KY858588
Columnea oblongifolia;NA;KF005781;NA;NA;NA;NA;NA;NA;NA;KF005983;NA
Columnea orientandina;NA;KF554334;JX195979;NA;NA;KT958448;NA;KT958389;NA;KF005985;JX195748
Columnea ovatifolia;NA;KF554335;NA;NA;NA;NA;NA;NA;NA;KF005986;NA
Columnea paramicola;NA;DQ211113;NA;NA;NA;NA;NA;NA;JQ953977;KF005987;JQ954246
Columnea picta;NA;KF005785;NA;NA;NA;NA;NA;NA;NA;KF005988;NA
Columnea pulchra;NA;KF005786;NA;NA;NA;NA;NA;NA;NA;KF005990;NA
Columnea purpurata;NA;KY858298;JX195980;NA;JQ592163;NA;NA;NA;NA;JX195831;JX195749
Columnea purpureovittata;NA;KY858299;NA;NA;NA;NA;NA;NA;NA;KF005991;KY858590
Columnea purpusii;NA;JQ953792;NA;NA;NA;NA;NA;NA;KJ468105;KF005992;JQ954247
Columnea pygmaea;NA;KX912375;NA;NA;NA;NA;NA;NA;KX912488;KX912545;NA
Columnea querceti;NA;KY858300;KY858667;NA;JQ590281;NA;NA;NA;NA;KY858525;KY858591
Columnea rileyi;NA;KF554336;NA;NA;NA;NA;NA;NA;NA;KF005995;NA
Columnea rubriacuta;NA;AF543242;NA;NA;NA;NA;NA;NA;KX912490;KX912569;NA
Columnea rubricalyx;NA;KF005793;NA;NA;NA;NA;NA;NA;NA;KF005997;NA
Columnea sanguinea;NA;KY858301;KY858668;AF013697;NA;AJ490927;NA;KX011566;NA;KX011541;AJ492314
Columnea scandens;NA;KF040186;NA;NA;NA;NA;NA;NA;NA;KF005999;JQ954248
Columnea schiedeana;NA;KY858302;NA;U62164;NA;NA;NA;NA;NA;KY858527;KY858593
Columnea schimpffii;NA;KF005797;NA;NA;NA;NA;NA;NA;NA;KF006001;NA
Columnea segregata;NA;KF554337;NA;NA;NA;NA;NA;NA;NA;KF006002;NA
Columnea spathulata;NA;KF554340;NA;NA;NA;NA;NA;NA;NA;KF006004;AY047151
Columnea strigosa;NA;KF005801;KY858674;NA;NA;NA;NA;NA;JQ953981;KF006006;KY858601
Columnea tenella;NA;JQ953796;NA;NA;NA;NA;NA;NA;JQ953978;KX912580;JQ954251
Columnea tenensis;NA;KF005804;NA;NA;NA;NA;NA;NA;NA;KF006009;NA
Columnea tenuis;NA;KY858310;KY858675;NA;NA;NA;NA;NA;NA;KY858532;KY858602
Columnea tessmannii;NA;KY858308;NA;NA;NA;NA;NA;NA;NA;KY858533;KY858598
Columnea trollii;NA;KF005805;NA;NA;NA;NA;NA;NA;NA;KF006010;NA
Columnea tulae;NA;KY858312;KY858678;NA;NA;NA;NA;NA;NA;KY858535;KY858604
Columnea ulei;NA;KF554341;JX195981;NA;NA;KT958449;NA;KT958390;NA;JX195832;JX195750
Columnea ultraviolacea;NA;KF005806;NA;NA;NA;NA;NA;NA;NA;KF006011;NA
Columnea zebrina;NA;KY858314;KY858679;NA;NA;NA;NA;NA;NA;KY858536;KY858605
Comanthosphace formosana;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ854028;FJ854271
Comanthosphace japonica;NA;NA;HQ911407;NA;NA;NA;NA;NA;NA;FJ854031;FJ854272
Comanthosphace stellipila;NA;AB894376;MH749030;NA;MH749193;NA;NA;NA;NA;NA;AB894374
Comoranthus minor;MH817901;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Conandron ramondioides;NA;GU350649;NA;KX526851;KX527366;FJ501405;NA;NA;NA;NA;GU350681
Condea emoryi;NA;MF964057;MF963671;NA;MF963326;NA;NA;NA;NA;NA;NA
Congea chinensis;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Congea tomentosa;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Conopholis americana;HG514459;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Conradina canescens;NA;DQ667238;KJ772673;NA;KJ773396;NA;NA;NA;NA;NA;DQ667438
Conradina etonia;NA;AF369165;KY607198;NA;KX397748;NA;NA;NA;NA;NA;AY943435
Conradina glabra;NA;AY943471;KY607199;NA;KX397749;NA;NA;NA;NA;NA;DQ860318
Conradina grandiflora;NA;JQ669088;KY607200;NA;MG582632;NA;NA;NA;JQ669293;NA;JF301365
Conradina verticillata;NA;AY943480;MH748917;NA;MH749055;NA;NA;NA;NA;NA;AY943445
Corallodiscus forrestii;NA;KY271210;NA;NA;NA;FJ501375;NA;NA;NA;NA;FJ501433
Corallodiscus kingianus;NA;GU350630;NA;NA;MF786448;NA;NA;NA;NA;NA;GU350663
Corallodiscus lanuginosus;NA;HQ327465;NA;NA;KX527168;HQ327458;NA;NA;NA;NA;HQ327450
Cordia sebestena;KT738110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cordylanthus capitatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF103799;EF103877
Cordylanthus eremicus;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF103802;EF103880
Cordylanthus kingii;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF103800;AF118795
Cordylanthus maritimus;NA;MF963938;MF963566;NA;MF963202;NA;NA;NA;NA;NA;NA
Cordylanthus orcuttianus;NA;MF964011;NA;NA;MF963269;NA;NA;NA;NA;NA;NA
Cordylanthus pilosus;NA;EF103722;NA;NA;NA;NA;NA;NA;NA;EF103798;EF103876
Cordylanthus pringlei;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF103795;EF103873
Cordylanthus ramosus;NA;EF103725;KC542157;NA;NA;NA;NA;NA;NA;EF103803;EF103881
Cordylanthus rigidus;NA;AY911221;NA;NA;NA;NA;NA;NA;NA;EF103796;EF103874
Cordylanthus tecopensis;NA;MF964115;MF963728;NA;MF963367;NA;NA;NA;NA;NA;NA
Cordylanthus tenuis;NA;EF103721;NA;NA;NA;NA;NA;NA;NA;EF103797;EF103875
Cordylanthus wrightii;NA;EF103724;NA;NA;NA;NA;NA;NA;NA;EF103801;EF103879
Cornutia pyramidata;NA;NA;HQ911375;NA;MG836335;NA;NA;NA;NA;NA;MG836392
Coronanthera aspera;NA;EF445670;NA;NA;NA;NA;NA;NA;NA;NA;EF445727
Coronanthera clarkeana;NA;EF445671;NA;GQ497212;NA;NA;NA;NA;NA;NA;EF445728
Coronanthera deltoidifolia;NA;EF445673;NA;NA;NA;NA;NA;NA;NA;NA;EF445729
Coronanthera pancheri;NA;EF445674;NA;NA;NA;NA;NA;NA;NA;NA;EF445730
Coronanthera sericea;NA;EF445677;NA;NA;NA;NA;NA;NA;NA;NA;EF445731
Coronanthera squamata;NA;EF445679;NA;NA;NA;NA;NA;NA;NA;NA;EF445733
Corytoplectus capitatus;NA;KY858316;JX195983;NA;NA;KT958450;NA;KT958391;JQ953958;JX195834;JX195752
Corytoplectus cutucuensis;NA;DQ211161;NA;NA;NA;NA;NA;NA;NA;NA;AY047153
Corytoplectus deltoideus;NA;MF785415;NA;NA;MF786380;NA;NA;NA;NA;NA;NA
Cosmianthemum viriduliflorum;NA;NA;KX526466;NA;KX527392;NA;NA;NA;NA;KP744227;KP744224
Crabbea thymifolia;NA;EU528874;NA;NA;NA;NA;NA;NA;NA;EU529004;EU528912
Craniolaria annua;NA;AY182834;NA;KJ784302;NA;NA;NA;NA;NA;NA;KJ743198
Craniolaria integrifolia;NA;JN686496;NA;JN686625;NA;NA;NA;NA;NA;JN686536;JQ322788
Craniotome furcata;NA;KR608731;HQ911392;NA;JQ933281;NA;NA;NA;NA;FJ854032;KR608664
Craterostigma hirsutum;NA;NA;AF531776;NA;KR736597;NA;NA;NA;NA;FN794089;FN794054
Craterostigma plantagineum;NA;NA;FR728387;NA;KR737531;NA;NA;NA;NA;AY492201;AY492174
Craterostigma pumilum;NA;NA;AY667462;NA;NA;NA;NA;NA;NA;KF257682;KF257782
Cremosperma castroanum;NA;EF445708;NA;NA;NA;NA;NA;NA;NA;NA;EF445759
Cremosperma humidum;NA;EF445709;NA;NA;NA;NA;NA;NA;NA;NA;EF445760
Cremosperma maculatum;NA;KY858317;JX195986;NA;NA;KU991210;NA;KU991248;NA;JX195837;JX195755
Cremosperma nobile;NA;DQ070509;NA;NA;NA;NA;NA;NA;NA;NA;GQ166802
Cremosperma reldioides;NA;EF445710;NA;NA;NA;NA;NA;NA;NA;NA;EF445761
Cremosperma veraguanum;NA;GQ119603;NA;NA;NA;NA;NA;NA;NA;NA;GQ166803
Crepidorhopalon bifolius;NA;NA;FR728417;NA;NA;NA;NA;NA;NA;KF257696;KF257788
Crepidorhopalon goetzei;NA;NA;FR728419;NA;NA;NA;NA;NA;NA;KF257683;KF257783
Crepidorhopalon microcarpaeoides;NA;NA;FR728418;NA;NA;NA;NA;NA;NA;NA;NA
Crepidorhopalon perennis;NA;NA;FR728415;NA;NA;NA;NA;NA;NA;NA;NA
Crepidorhopalon spicatus;NA;NA;KF257411;NA;NA;NA;NA;NA;NA;KF257684;KF257784
Crepidorhopalon tenuis;NA;NA;FR728414;NA;NA;NA;NA;NA;NA;KF257685;KF257785
Crepidorhopalon whytei;NA;NA;KF257413;NA;NA;NA;NA;NA;NA;KF257686;KF257786
Crescentia alata;NA;NA;JQ586996;FJ887857;JQ590799;NA;NA;NA;NA;NA;FJ870025
Crescentia cujete;KT182634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Crescentia linearifolia;NA;NA;NA;EF105002;KJ082243;NA;NA;NA;NA;NA;EF105059
Crescentia portoricensis;NA;MH762921;NA;AY500457;AF102643;NA;NA;NA;NA;NA;EF105060
Cromidon decumbens;NA;NA;NA;AJ401403;NA;NA;NA;NA;NA;NA;NA
Crossandra greenstockii;NA;DQ028427;NA;NA;NA;NA;NA;NA;KM033946;DQ059171;DQ054871
Crossandra horrida;NA;DQ028428;NA;NA;NA;NA;NA;NA;NA;DQ059172;DQ054872
Crossandra infundibuliformis;NA;AF169754;MH748946;NA;JQ933287;NA;NA;NA;NA;KP744190;AF061826
Crossandra longipes;NA;NA;NA;NA;NA;NA;NA;NA;NA;DQ059174;DQ054873
Crossandra massaica;NA;NA;KR734503;NA;KR736710;NA;NA;NA;NA;NA;KR737918
Crossandra pungens;NA;NA;NA;NA;NA;NA;NA;NA;NA;DQ059175;AF061825
Crossandra strobilifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;EU315789;DQ054874
Crossandrella dusenii;NA;NA;NA;NA;NA;NA;NA;NA;NA;DQ059170;DQ054869
Cubitanthus alatus;NA;NA;JX196133;NA;NA;NA;NA;NA;NA;NA;JX195764
Cuminia eriantha;NA;GU381410;GU381729;NA;NA;NA;NA;NA;NA;NA;GU381566
Cunila lythrifolia;NA;JQ669090;NA;NA;NA;NA;NA;NA;JQ669296;NA;JQ669033
Cunila pycnantha;NA;JQ669093;NA;NA;NA;NA;NA;NA;NA;NA;JQ669035
Cuspidaria argentea;NA;NA;NA;JQ343985;NA;NA;NA;NA;NA;NA;NA
Cuspidaria convoluta;NA;NA;NA;DQ222573;NA;NA;NA;NA;NA;NA;FJ870026
Cuspidaria floribunda;NA;NA;NA;DQ222574;NA;NA;NA;NA;NA;NA;NA
Cuspidaria florida;MG831873;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cuspidaria lateriflora;NA;NA;NA;DQ222575;NA;NA;NA;NA;KP757339;NA;NA
Cyanostegia angustifolia;NA;GQ381194;NA;GQ381206;NA;NA;NA;NA;NA;NA;NA
Cyanostegia corifolia;NA;GQ381149;NA;GQ381207;NA;NA;NA;NA;NA;NA;JX047766
Cyanostegia lanceolata;NA;GQ381148;NA;GQ381208;NA;NA;NA;NA;NA;NA;JX047767
Cybistax antisyphilitica;NA;JX497699;MG833463;EF105003;MG833462;NA;NA;NA;NA;NA;EF105061
Cyclocheilon kelleri;NA;EU259256;NA;NA;NA;NA;NA;EU259216;NA;NA;NA
Cyclocheilon physocalyx;NA;NA;NA;NA;NA;NA;NA;EU259217;NA;NA;NA
Cyclocheilon somaliense;NA;NA;AJ429336;AJ429117;U28871;NA;NA;EU259218;NA;AJ431048;AJ430923
Cyclotrichium leucotrichum;NA;GU381396;NA;NA;KY400626;NA;NA;NA;NA;NA;GU381524
Cyclotrichium longiflorum;NA;GU381398;GU381692;NA;NA;NA;NA;NA;NA;NA;GU381526
Cyclotrichium niveum;NA;GU381397;NA;NA;NA;NA;NA;NA;NA;NA;GU381525
Cyclotrichium origanifolium;NA;GU381399;GU381693;NA;NA;NA;NA;NA;NA;NA;GU381527
Cyclotrichium stamineum;NA;JQ669094;NA;NA;NA;NA;NA;NA;JQ669300;NA;GU381528
Cyclotrichium straussii;NA;GU381401;GU381695;NA;NA;NA;NA;NA;NA;NA;GU381529
Cycnium adonense;NA;KC480327;JX091318;NA;NA;NA;NA;EU253627;NA;NA;NA
Cycnium herzfeldianum;NA;NA;FR728649;NA;NA;NA;NA;NA;NA;NA;NA
Cycnium racemosum;NA;AY911223;AY849601;NA;DQ017783;NA;NA;EU259230;NA;NA;NA
Cycnium tubulosum;NA;KC480329;FR728650;NA;NA;NA;NA;EU259231;NA;NA;NA
Cycnium volkensii;NA;KC480330;NA;NA;NA;NA;NA;EU259232;NA;NA;NA
Cymaria dichotoma;NA;NA;HQ911388;NA;NA;NA;NA;NA;NA;FJ853998;FJ854245
Cymbalaria aequitriloba;NA;KP735224;NA;KT187792;NA;NA;NA;NA;MK217660;NA;NA
Cymbalaria fragilis;NA;KP735211;NA;KP851004;NA;NA;NA;NA;MK217747;NA;NA
Cymbalaria glutinosa;NA;KP735216;NA;KP851029;NA;NA;NA;NA;KP851114;NA;NA
Cymbalaria hepaticifolia;NA;KP735223;NA;MK217626;NA;NA;NA;NA;MK217755;NA;NA
Cymbalaria longipes;NA;KP735232;NA;KP851038;NA;NA;NA;NA;KP851123;NA;NA
Cymbalaria microcalyx;NA;KP735239;NA;KP851037;NA;NA;NA;NA;KP851125;NA;NA
Cymbalaria muelleri;NA;KP735209;NA;KP851010;NA;NA;NA;NA;MK217774;NA;NA
Cymbalaria muralis;NA;AF513883;HM850958;AJ250382;KM360744;NA;NA;NA;MK217780;AY492202;AY316713
Cymbalaria pallida;NA;KP735233;NA;KT187791;NA;NA;NA;NA;KP851119;NA;NA
Cymbalaria pubescens;NA;KP735228;NA;KP851024;NA;NA;NA;NA;MK217781;NA;NA
Cymbaria mongolica;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyrtandra aloisiana;NA;MF446048;NA;NA;NA;NA;NA;NA;MF509448;NA;NA
Cyrtandra anthropophagorum;NA;MF446049;NA;NA;NA;NA;NA;NA;MF509449;NA;NA
Cyrtandra atherocalyx;NA;MF446050;NA;NA;NA;NA;NA;NA;MF509450;NA;NA
Cyrtandra aurantiicarpa;NA;EU919971;NA;NA;NA;NA;NA;NA;MF509451;NA;NA
Cyrtandra calpidicarpa;NA;GQ475201;NA;NA;NA;NA;NA;NA;MF509452;NA;NA
Cyrtandra cephalophora;NA;MF446052;NA;NA;NA;NA;NA;NA;MF509454;NA;NA
Cyrtandra chlorantha;NA;MF446057;NA;NA;NA;NA;NA;NA;MF509459;NA;NA
Cyrtandra ciliata;NA;MF446058;NA;NA;NA;NA;NA;NA;MF509461;NA;NA
Cyrtandra clarkei;NA;NA;NA;NA;NA;NA;NA;NA;MF509462;NA;NA
Cyrtandra coccinea;NA;NA;NA;NA;NA;NA;NA;NA;MF509463;NA;NA
Cyrtandra coleoides;NA;MF446061;NA;NA;NA;NA;NA;NA;MF509465;NA;NA
Cyrtandra compressa;NA;EU919970;NA;NA;NA;U91309;NA;NA;MF509466;NA;NA
Cyrtandra cordifolia;NA;KC283084;NA;NA;NA;NA;NA;NA;MF509467;NA;NA
Cyrtandra cupulata;NA;NA;NA;NA;NA;AJ490886;NA;NA;NA;NA;AJ492273
Cyrtandra dolichocarpa;NA;MF446064;NA;NA;NA;NA;NA;NA;MF509469;NA;NA
Cyrtandra efatensis;NA;NA;NA;NA;NA;NA;NA;NA;MF509470;NA;NA
Cyrtandra elizabethae;NA;MF446065;NA;NA;NA;NA;NA;NA;MF509471;NA;NA
Cyrtandra erectiloba;NA;NA;NA;NA;NA;NA;NA;NA;MF509474;NA;NA
Cyrtandra esothrix;NA;MF446070;NA;NA;NA;NA;NA;NA;MF509477;NA;NA
Cyrtandra falcifolia;NA;GQ475184;NA;NA;NA;U91310;NA;NA;MF509479;NA;NA
Cyrtandra feaniana;NA;GQ475174;NA;NA;NA;NA;NA;NA;MF509481;NA;NA
Cyrtandra filibracteata;NA;KF148658;NA;NA;NA;NA;NA;NA;MF509482;NA;NA
Cyrtandra fulvovillosa;NA;MF446072;NA;NA;NA;NA;NA;NA;MF509483;NA;NA
Cyrtandra futunae;NA;MF446073;NA;NA;NA;NA;NA;NA;MF509484;NA;NA
Cyrtandra glabra;NA;FJ501353;NA;NA;NA;AY423119;NA;NA;NA;NA;AY423136
Cyrtandra graeffei;NA;MF446075;NA;NA;NA;NA;NA;NA;MF509485;NA;NA
Cyrtandra grandiflora;NA;EU919954;NA;NA;NA;U91306;NA;NA;MF509486;NA;NA
Cyrtandra hashimotoi;NA;MF446076;NA;NA;NA;NA;NA;NA;MF509487;NA;NA
Cyrtandra hawaiensis;NA;EU919949;NA;AF130159;NA;NA;NA;NA;MF509489;NA;NA
Cyrtandra heinrichii;NA;MF446080;NA;NA;NA;NA;NA;NA;MF509490;NA;NA
Cyrtandra hornei;NA;MF446082;NA;NA;NA;NA;NA;NA;MF509492;NA;NA
Cyrtandra induta;NA;MF446083;NA;NA;NA;NA;NA;NA;MF509493;NA;NA
Cyrtandra involucrata;NA;MF446084;NA;NA;NA;NA;NA;NA;MF509494;NA;NA
Cyrtandra jonesii;NA;EU919965;NA;NA;NA;NA;NA;NA;MF509495;NA;NA
Cyrtandra jugalis;NA;MF446085;NA;NA;NA;NA;NA;NA;MF509496;NA;NA
Cyrtandra kauaiensis;NA;KC283082;NA;NA;NA;NA;NA;NA;MF509497;NA;NA
Cyrtandra kaulantha;NA;EU919952;NA;NA;NA;NA;NA;NA;MF509498;NA;NA
Cyrtandra kenwoodii;NA;NA;NA;NA;NA;NA;NA;NA;MF509499;NA;NA
Cyrtandra kruegeri;NA;MF446086;NA;NA;NA;NA;NA;NA;MF509500;NA;NA
Cyrtandra kusaimontana;NA;EU919945;NA;NA;NA;NA;NA;NA;MF509501;NA;HQ632907
Cyrtandra laxiflora;NA;EU919948;NA;NA;NA;NA;NA;NA;MF509502;NA;NA
Cyrtandra leucantha;NA;EU919988;NA;NA;NA;NA;NA;NA;MF509503;NA;NA
Cyrtandra longifolia;NA;KC283081;NA;NA;NA;FJ501413;NA;NA;MF509506;NA;FJ501531
Cyrtandra lydgatei;NA;MF446091;NA;NA;NA;NA;NA;NA;MF509507;NA;NA
Cyrtandra lysiosepala;NA;MF446092;NA;NA;NA;NA;NA;NA;MF509508;NA;NA
Cyrtandra macrotricha;NA;KF148653;NA;NA;NA;NA;NA;NA;MF509509;NA;NA
Cyrtandra mareensis;NA;KP842277;NA;NA;NA;NA;NA;NA;MF509510;NA;NA
Cyrtandra mesilauensis;NA;MF446095;NA;NA;NA;NA;NA;NA;MF509511;NA;NA
Cyrtandra milnei;NA;MF446097;NA;NA;NA;NA;NA;NA;MF509514;NA;NA
Cyrtandra multiseptata;NA;MF446099;NA;NA;NA;NA;NA;NA;MF509515;NA;NA
Cyrtandra munroi;NA;GQ475192;NA;NA;NA;NA;NA;NA;MF509517;NA;NA
Cyrtandra nanawaleensis;NA;MF446101;NA;NA;NA;NA;NA;NA;MF509518;NA;NA
Cyrtandra nitens;NA;MF446102;NA;NA;NA;NA;NA;NA;MF509519;NA;NA
Cyrtandra occulta;NA;EU919989;NA;NA;NA;NA;NA;NA;MF509520;NA;NA
Cyrtandra oxybapha;NA;MF446103;NA;NA;NA;NA;NA;NA;MF509523;NA;NA
Cyrtandra pachyneura;NA;MF446104;NA;NA;NA;NA;NA;NA;MF509524;NA;NA
Cyrtandra peltata;NA;MF446109;NA;NA;NA;NA;NA;NA;MF509529;NA;NA
Cyrtandra pendula;NA;EU919979;NA;NA;NA;U91305;NA;NA;MF509530;NA;FJ501530
Cyrtandra pogonantha;NA;EU919968;NA;NA;NA;NA;NA;NA;MF509534;NA;NA
Cyrtandra polyantha;NA;MF446113;NA;NA;NA;NA;NA;NA;MF509535;NA;NA
Cyrtandra prattii;NA;MF446115;NA;NA;NA;NA;NA;NA;MF509536;NA;NA
Cyrtandra pritchardii;NA;MF446116;NA;NA;NA;NA;NA;NA;MF509538;NA;NA
Cyrtandra procera;NA;GQ475189;NA;NA;NA;NA;NA;NA;MF509540;NA;NA
Cyrtandra pulchella;NA;EU919941;NA;NA;NA;NA;NA;NA;MF509541;NA;HQ632906
Cyrtandra richii;NA;MF446118;NA;NA;NA;NA;NA;NA;MF509542;NA;NA
Cyrtandra roseiflora;NA;MF446119;NA;NA;NA;NA;NA;NA;MF509543;NA;NA
Cyrtandra samoensis;NA;EU919942;NA;NA;NA;NA;NA;NA;MF509546;NA;NA
